Value,Type,Year,Field,FieldOrder1,FieldOrder2,Fieldkm,Field2km,Field3km,Field4km,,,scrAxis,PaperAxis,scrDist,CalcKM,
74.21524664,inc,one,1,1,1,0,0,0,0,,,7.5,58,0,0,0
90.80717489,inc,one,2,2,4,0.158666667,0.025175111,0.003994451,0.000633786,,,,,1.19,9.202666667,0.158666667
53.58744395,inc,one,3,3,9,0.317333333,0.100700444,0.031955608,0.01014058,,,,,2.38,18.40533333,0.317333333
28.69955157,inc,one,4,4,16,0.474666667,0.225308444,0.106946408,0.050763895,,,,,3.56,27.53066667,0.474666667
14.57399103,inc,one,5,5,25,0.633333333,0.401111111,0.254037037,0.160890123,,,,,4.75,36.73333333,0.633333333
4.260089686,inc,one,6,6,36,0.789333333,0.623047111,0.491791853,0.388187703,,,,,5.92,45.78133333,0.789333333
6.278026906,inc,one,7,7,49,0.893333333,0.798044444,0.712919704,0.636874935,,,,,6.7,51.81333333,0.893333333
4.932735426,inc,one,8,8,64,1,1,1,1,,,,,7.5,58,1
19.91701245,nymph,one,1,1,1,0,0,0,0,,,,,,,
53.1120332,nymph,one,2,2,4,0.158666667,0.025175111,0.003994451,0.000633786,,,,,,,
17.84232365,nymph,one,3,3,9,0.317333333,0.100700444,0.031955608,0.01014058,,,,,,note that 58km is quoted as transect distance in Colvin et al 2004,
7.883817427,nymph,one,4,4,16,0.474666667,0.225308444,0.106946408,0.050763895,,,,,,,
6.639004149,nymph,one,5,5,25,0.633333333,0.401111111,0.254037037,0.160890123,,,,,,,
6.22406639,nymph,one,6,6,36,0.789333333,0.623047111,0.491791853,0.388187703,,,,,,,
14.52282158,nymph,one,7,7,49,0.893333333,0.798044444,0.712919704,0.636874935,,,,,,,
7.883817427,nymph,one,8,8,64,1,1,1,1,,,,,,,
4.83234714,adult,one,1,1,1,0,0,0,0,,,,,,,
13.01775148,adult,one,2,2,4,0.158666667,0.025175111,0.003994451,0.000633786,,,,,,,
7.790927022,adult,one,3,3,9,0.317333333,0.100700444,0.031955608,0.01014058,,,,,,,
2.761341223,adult,one,4,4,16,0.474666667,0.225308444,0.106946408,0.050763895,,,,,,,
1.380670611,adult,one,5,5,25,0.633333333,0.401111111,0.254037037,0.160890123,,,,,,,
1.6765286,adult,one,6,6,36,0.789333333,0.623047111,0.491791853,0.388187703,,,,,,,
3.25443787,adult,one,7,7,49,0.893333333,0.798044444,0.712919704,0.636874935,,,,,,,
3.846153846,adult,one,8,8,64,1,1,1,1,,,,,,,
99.55156951,inc,two,1,1,1,0,0,0,0,,,,,,,
98.65470852,inc,two,2,2,4,0.158666667,0.025175111,0.003994451,0.000633786,,,,,,,
97.08520179,inc,two,3,3,9,0.317333333,0.100700444,0.031955608,0.01014058,,,,,,,
44.39461883,inc,two,4,4,16,0.474666667,0.225308444,0.106946408,0.050763895,,,,,,,
60.76233184,inc,two,5,5,25,0.633333333,0.401111111,0.254037037,0.160890123,,,,,,,
90.35874439,inc,two,6,6,36,0.789333333,0.623047111,0.491791853,0.388187703,,,,,,,
73.5426009,inc,two,7,7,49,0.893333333,0.798044444,0.712919704,0.636874935,,,,,,,
97.75784753,inc,two,8,8,64,1,1,1,1,,,,,,,
79.25311203,nymph,two,1,1,1,0,0,0,0,,,,,,,
136.9294606,nymph,two,2,2,4,0.158666667,0.025175111,0.003994451,0.000633786,,,,,,,
48.13278008,nymph,two,3,3,9,0.317333333,0.100700444,0.031955608,0.01014058,,,,,,,
4.564315353,nymph,two,4,4,16,0.474666667,0.225308444,0.106946408,0.050763895,,,,,,,
29.04564315,nymph,two,5,5,25,0.633333333,0.401111111,0.254037037,0.160890123,,,,,,,
103.7344398,nymph,two,6,6,36,0.789333333,0.623047111,0.491791853,0.388187703,,,,,,,
118.2572614,nymph,two,7,7,49,0.893333333,0.798044444,0.712919704,0.636874935,,,,,,,
155.6016598,nymph,two,8,8,64,1,1,1,1,,,,,,,
16.46942801,adult,two,1,1,1,0,0,0,0,,,,,,,
35.20710059,adult,two,2,2,4,0.158666667,0.025175111,0.003994451,0.000633786,,,,,,,
15.7790927,adult,two,3,3,9,0.317333333,0.100700444,0.031955608,0.01014058,,,,,,,
2.366863905,adult,two,4,4,16,0.474666667,0.225308444,0.106946408,0.050763895,,,,,,,
6.213017751,adult,two,5,5,25,0.633333333,0.401111111,0.254037037,0.160890123,,,,,,,
28.10650888,adult,two,6,6,36,0.789333333,0.623047111,0.491791853,0.388187703,,,,,,,
30.27613412,adult,two,7,7,49,0.893333333,0.798044444,0.712919704,0.636874935,,,,,,,
38.06706114,adult,two,8,8,64,1,1,1,1,,,,,,,
